superset_audited_ordered_ladder_available,superset_audited_ordered_ladder_valid,level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,superset_audited_ordered_ladder_median_abs_error,superset_audited_ordered_ladder_mean_abs_error,superset_audited_ordered_ladder_pct_within_3,superset_audited_ordered_ladder_pct_within_5,L4_audited_candidate_price,L4_actual,L4_abs_error,L4_within_3,L4_within_5,L4_audited_source,L4_audit_status,L5_audited_candidate_price,L5_actual,L5_abs_error,L5_within_3,L5_within_5,L5_audited_source,L5_audit_status,L6_audited_candidate_price,L6_actual,L6_abs_error,L6_within_3,L6_within_5,L6_audited_source,L6_audit_status,L7_audited_candidate_price,L7_actual,L7_abs_error,L7_within_3,L7_within_5,L7_audited_source,L7_audit_status
True,True,2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4208.11,PREV_CLOSE_PROXY,,NEUTRAL,4.53368,5.370903,50.0,50.0,4201.90625,4201.69,0.21625,True,True,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_3,4189.07,4189.9,0.83,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3,4169.03264,4177.27,8.23736,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,4150.79,4162.99,12.2,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4325.92,PREV_CLOSE_PROXY,,NEUTRAL,12.755625,11.998125,0.0,0.0,4320.4125,4305.21,15.2025,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4300.32875,4289.52,10.80875,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4290.4125,4275.71,14.7025,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4270.32875,4263.05,7.27875,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10
True,True,2025-10-20,2025-10-17,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4252.68,PREV_CLOSE_PROXY,,NEUTRAL,77.105313,71.916094,0.0,0.0,4325.85875,4286.39,39.46875,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4324.815625,4249.57,75.245625,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4297.945,4218.98,78.965,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4282.945,4188.96,93.985,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-10-21,2025-10-20,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4356.3,PREV_CLOSE_PROXY,,NEUTRAL,34.744375,32.551875,25.0,25.0,4338.17875,4336.24,1.93875,True,True,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_3,4333.31,4302.55,30.76,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4314.39875,4275.67,38.72875,False,False,EXPANDED_ORACLE_BETTER,SUPERSET_OK_GT10,4300.25,4241.47,58.78,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-22,2025-10-21,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4124.9,PREV_CLOSE_PROXY,,NEUTRAL,51.3375,51.281562,0.0,0.0,4203.52875,4243.57,40.04125,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4173.52875,4216.07,42.54125,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4122.77625,4182.91,60.13375,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4082.4,4144.81,62.41,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-23,2025-10-22,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4098.38,PREV_CLOSE_PROXY,,NEUTRAL,83.695651,81.624076,0.0,0.0,4082.975,4177.89,94.915,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4056.869948,4147.32,90.450052,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4027.98875,4104.93,76.94125,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4004.66,4068.85,64.19,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-24,2025-10-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4125.98,PREV_CLOSE_PROXY,,NEUTRAL,18.74625,17.776043,25.0,25.0,4139.91125,4171.67,31.75875,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4115.61,4135.65,20.04,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4097.86708,4099.72,1.85292,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4078.8925,4061.44,17.4525,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-10-27,2025-10-24,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4112.26,PREV_CLOSE_PROXY,,NEUTRAL,5.90875,5.536562,25.0,50.0,4158.24375,4166.24,7.99625,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4119.4875,4129.36,9.8725,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4095.73125,4091.91,3.82125,False,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,4056.95625,4056.5,0.45625,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5
True,True,2025-10-28,2025-10-27,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3981.07,PREV_CLOSE_PROXY,,NEUTRAL,3.68269,5.690095,50.0,50.0,4118.255,4133.51,15.255,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4097.3,4092.09,5.21,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4061.65538,4059.5,2.15538,True,True,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_3,4025.39,4025.25,0.14,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5
True,True,2025-10-29,2025-10-28,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3952.66,PREV_CLOSE_PROXY,,NEUTRAL,21.0071,19.536675,0.0,0.0,4029.3325,4053.69,24.3575,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4008.945,4020.72,11.775,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3968.8758,3988.68,19.8042,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3938.17,3960.38,22.21,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-30,2025-10-29,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3930.12,PREV_CLOSE_PROXY,,NEUTRAL,98.775625,99.005625,0.0,0.0,3968.91875,4090.3,121.38125,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3950.6725,4056.8,106.1275,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3932.42625,4023.85,91.42375,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3914.18,3991.27,77.09,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-31,2025-10-30,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4024.28,PREV_CLOSE_PROXY,,NEUTRAL,12.5125,10.757812,0.0,25.0,4039.49875,4053.95,14.45125,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4009.49875,4020.43,10.93125,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3974.05625,3988.15,14.09375,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3956.335,3959.89,3.555,False,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5
True,True,2025-11-03,2025-10-31,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,4002.19,PREV_CLOSE_PROXY,,NEUTRAL,8.898125,10.08625,0.0,25.0,4024.215,4042.58,18.365,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4007.21375,4013.99,6.77625,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3981.21625,3985.4,4.18375,False,True,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_5,3942.22,3953.24,11.02,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-11-04,2025-11-03,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4001.26,PREV_CLOSE_PROXY,,NEUTRAL,16.479375,15.479688,0.0,25.0,4011.435,4037.15,25.715,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3993.73125,4011.32,17.58875,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3981.435,3978.19,3.245,False,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,3932.25,3947.62,15.37,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-11-05,2025-11-04,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,3931.9,PREV_CLOSE_PROXY,,NEUTRAL,18.095625,20.315,0.0,25.0,3968.95125,3973.68,4.72875,False,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_5,3955.5775,3944.85,10.7275,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3942.20375,3916.74,25.46375,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3928.83,3888.49,40.34,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-11-06,2025-11-05,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3979.04,PREV_CLOSE_PROXY,,NEUTRAL,3.6775,3.766146,50.0,50.0,4020.51,4026.17,5.66,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3997.685,3999.38,1.695,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,3964.850417,3971.33,6.479583,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3944.86,3946.09,1.23,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5
True,True,2025-11-07,2025-11-06,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,3976.93,PREV_CLOSE_PROXY,,NEUTRAL,6.23,6.128442,25.0,25.0,3982.909982,3994.41,11.500018,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3966.45375,3965.9,0.55375,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3,3945.19125,3939.99,5.20125,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,3923.92875,3916.67,7.25875,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10
True,True,2025-11-10,2025-11-07,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4000.84,PREV_CLOSE_PROXY,,NEUTRAL,4.465312,6.185521,50.0,50.0,4003.308542,4017.8,14.491458,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3986.346875,3992.42,6.073125,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3965.2825,3968.14,2.8575,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,3944.54,3943.22,1.32,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5
True,True,2025-11-11,2025-11-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4115.78,PREV_CLOSE_PROXY,,NEUTRAL,22.38999,20.19964,0.0,0.0,4146.47,4158.14,11.67,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4109.315,4131.74,22.425,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4076.81502,4099.17,22.35498,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4042.66142,4067.01,24.34858,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-11-12,2025-11-11,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4126.6,PREV_CLOSE_PROXY,,NEUTRAL,19.984574,20.533225,0.0,0.0,4138.78375,4129.0,9.78375,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,4114.426649,4097.81,16.616649,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4087.6025,4064.25,23.3525,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4067.13,4034.75,32.38,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-11-13,2025-11-12,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4195.32,PREV_CLOSE_PROXY,,NEUTRAL,3.390428,4.195214,50.0,50.0,4241.75,4233.19,8.56,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4206.04,4204.6,1.44,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,4174.136704,4175.81,1.673296,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,4141.17244,4146.28,5.10756,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-11-14,2025-11-13,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4171.26,PREV_CLOSE_PROXY,,NEUTRAL,36.37,36.135008,0.0,0.0,4307.45,4270.12,37.33,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4275.05,4239.31,35.74,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4242.65,4205.65,37.0,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4211.850033,4177.38,34.470033,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-11-17,2025-11-14,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4085.1,PREV_CLOSE_PROXY,,NEUTRAL,107.04857,110.474285,0.0,0.0,4241.27,4111.02,130.25,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4188.8975,4076.11,112.7875,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4142.89964,4041.59,101.30964,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4106.78,4009.23,97.55,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-11-18,2025-11-17,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4045.52,PREV_CLOSE_PROXY,,NEUTRAL,3.34375,4.849062,50.0,75.0,4104.2725,4104.67,0.3975,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3,4071.835,4069.43,2.405,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4031.8975,4036.18,4.2825,False,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,3993.17875,4005.49,12.31125,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-11-19,2025-11-18,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4067.3,PREV_CLOSE_PROXY,,NEUTRAL,4.805,4.91378,50.0,50.0,4112.4,4105.38,7.02,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4068.11,4070.7,2.59,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4049.20012,4040.63,8.57012,False,False,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_10,4009.785,4008.31,1.475,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5
True,True,2025-11-20,2025-11-19,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4077.81,PREV_CLOSE_PROXY,,NEUTRAL,3.3375,3.452495,50.0,50.0,4103.33252,4109.29,5.95748,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,4069.0525,4074.15,5.0975,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,4039.0525,4040.63,1.5775,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3,4012.2675,4011.09,1.1775,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3
