level_date,prev_date,published_level,source_column,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding
2025-11-12,2025-11-11,4.0,level_name,3985.24,-3981.24,3981.24,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4149.02,4097.13,4126.6,51.89000000000033,40.945000000000164,30.0
2025-11-12,2025-11-11,5.0,level_name,3985.24,-3980.24,3980.24,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4149.02,4097.13,4126.6,51.89000000000033,40.945000000000164,30.0
2025-11-12,2025-11-11,6.0,level_name,3985.24,-3979.24,3979.24,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4149.02,4097.13,4126.6,51.89000000000033,40.945000000000164,30.0
2025-11-12,2025-11-11,7.0,level_name,3985.24,-3978.24,3978.24,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4149.02,4097.13,4126.6,51.89000000000033,40.945000000000164,30.0
2025-11-12,2025-11-11,8.0,level_name,3985.24,-3977.24,3977.24,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4149.02,4097.13,4126.6,51.89000000000033,40.945000000000164,30.0
2025-12-11,2025-12-10,1.0,level_name,4064.89,-4063.89,4063.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,2.0,level_name,4064.89,-4062.89,4062.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,3.0,level_name,4064.89,-4061.89,4061.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,4.0,level_name,4064.89,-4060.89,4060.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,5.0,level_name,4064.89,-4059.89,4059.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,6.0,level_name,4064.89,-4058.89,4058.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,7.0,level_name,4064.89,-4057.89,4057.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-11,2025-12-10,8.0,level_name,4064.89,-4056.89,4056.89,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4238.79,4181.84,4228.54,56.94999999999982,43.47499999999991,30.0
2025-12-12,2025-12-11,1.0,level_name,4062.82,-4061.82,4061.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,2.0,level_name,4062.82,-4060.82,4060.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,3.0,level_name,4062.82,-4059.82,4059.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,4.0,level_name,4062.82,-4058.82,4058.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,5.0,level_name,4062.82,-4057.82,4057.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,6.0,level_name,4062.82,-4056.82,4056.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,7.0,level_name,4062.82,-4055.82,4055.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,8.0,level_name,4062.82,-4054.82,4054.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
2025-12-12,2025-12-11,9.0,level_name,4062.82,-4053.82,4053.82,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4285.96,4204.39,4279.59,81.56999999999971,55.784999999999854,30.0
