calibration_mode,range_bucket,close_position_bucket,rows_bucket,date_count,median_top1_abs_error,avg_top3_within_5,median_best_abs_error,ordered_ladder_median_abs_error,ordered_ladder_avg_within_5,regime_calibration_score
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1.0,28.485,0.0,28.485,28.485,0.0,-8.2455
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1.0,28.485,0.0,28.485,28.485,0.0,-8.2455
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1.0,28.485,0.0,28.485,28.485,0.0,-8.2455
MODE_D_NEAREST_VALID_LADDER,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3.0,51.041285,8.333333,36.82316,51.041285,8.333333,-8.579052
MODE_C_BALANCED,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4.0,62.93375,12.5,52.535625,62.93375,12.5,-8.930125
MODE_E_SPACING_PRESERVATION,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3.0,40.891285,8.333333,36.82316,44.644375,0.0,-9.013682
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1.0,36.0175,0.0,28.4025,28.4025,0.0,-9.363
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1.0,36.0175,0.0,28.4025,28.4025,0.0,-9.363
MODE_C_BALANCED,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1.0,36.0175,0.0,28.4025,28.4025,0.0,-9.363
MODE_D_NEAREST_VALID_LADDER,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1.0,36.0175,0.0,28.4025,28.4025,0.0,-9.363
MODE_E_SPACING_PRESERVATION,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1.0,36.0175,0.0,28.4025,28.4025,0.0,-9.363
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,5.0,59.945,10.0,17.022545,52.69,5.0,-10.14525
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,5.0,59.945,10.0,17.022545,52.69,5.0,-10.14525
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,5.0,59.945,10.0,17.022545,52.69,5.0,-10.14525
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4.0,62.93375,12.5,52.535625,62.93375,6.25,-11.117625
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4.0,62.93375,12.5,52.535625,62.93375,6.25,-11.117625
