level_date,prev_date,published_level,source_column,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding
2025-10-07,2025-10-06,6.0,level_name,3738.7,-3732.7,3732.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-07,2025-10-06,7.0,level_name,3738.7,-3731.7,3731.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-07,2025-10-06,8.0,level_name,3738.7,-3730.7,3730.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-08,2025-10-07,1.0,level_name,3830.54,-3829.54,3829.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-08,2025-10-07,2.0,level_name,3830.54,-3828.54,3828.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-08,2025-10-07,3.0,level_name,3830.54,-3827.54,3827.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-08,2025-10-07,4.0,level_name,3830.54,-3826.54,3826.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-08,2025-10-07,5.0,level_name,3830.54,-3825.54,3825.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-08,2025-10-07,6.0,level_name,3830.54,-3824.54,3824.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-08,2025-10-07,7.0,level_name,3830.54,-3823.54,3823.54,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0
2025-10-09,2025-10-08,1.0,level_name,3847.56,-3846.56,3846.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,2.0,level_name,3847.56,-3845.56,3845.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,3.0,level_name,3847.56,-3844.56,3844.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,4.0,level_name,3847.56,-3843.56,3843.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,5.0,level_name,3847.56,-3842.56,3842.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,6.0,level_name,3847.56,-3841.56,3841.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,7.0,level_name,3847.56,-3840.56,3840.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-09,2025-10-08,8.0,level_name,3847.56,-3839.56,3839.56,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4059.16,3983.36,4041.38,75.79999999999973,52.899999999999864,30.0
2025-10-10,2025-10-09,1.0,level_name,3771.69,-3770.69,3770.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,2.0,level_name,3771.69,-3769.69,3769.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,3.0,level_name,3771.69,-3768.69,3768.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,4.0,level_name,3771.69,-3767.69,3767.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,5.0,level_name,3771.69,-3766.69,3766.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,6.0,level_name,3771.69,-3765.69,3765.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,7.0,level_name,3771.69,-3764.69,3764.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,8.0,level_name,3771.69,-3763.69,3763.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,9.0,level_name,3771.69,-3762.69,3762.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-10,2025-10-09,10.0,level_name,3771.69,-3761.69,3761.69,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4057.99,3944.84,3975.96,113.14999999999964,71.57499999999982,30.0
2025-10-13,2025-10-10,1.0,level_name,3811.04,-3810.04,3810.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,2.0,level_name,3811.04,-3809.04,3809.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,3.0,level_name,3811.04,-3808.04,3808.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,4.0,level_name,3811.04,-3807.04,3807.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,5.0,level_name,3811.04,-3806.04,3806.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,6.0,level_name,3811.04,-3805.04,3805.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,7.0,level_name,3811.04,-3804.04,3804.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,8.0,level_name,3811.04,-3803.04,3803.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,9.0,level_name,3811.04,-3802.04,3802.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-13,2025-10-10,10.0,level_name,3811.04,-3801.04,3801.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4022.82,3946.93,4012.42,75.89000000000033,52.945000000000164,30.0
2025-10-14,2025-10-13,1.0,level_name,3814.88,-3813.88,3813.88,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4117.02,3995.95,4110.41,121.07000000000062,75.53500000000031,30.0
2025-10-14,2025-10-13,2.0,level_name,3814.88,-3812.88,3812.88,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4117.02,3995.95,4110.41,121.07000000000062,75.53500000000031,30.0
2025-10-14,2025-10-13,3.0,level_name,3814.88,-3811.88,3811.88,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4117.02,3995.95,4110.41,121.07000000000062,75.53500000000031,30.0
