rolling_oracle_source_family,rolling_oracle_source_type,oracle_win_count,rolling_oracle_pct_within_5,rolling_oracle_median_abs_error,rolling_recovered_within_5_pct,avg_prior_sample_count,avg_lookback_days
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent20_median,1.0,100.0,0.0825,0.0,20.0,3.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_expanded_median,1.0,100.0,0.0075,0.0,33.0,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_expanded_q25,1.0,100.0,0.342605,0.0,11.0,3.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_median,1.0,100.0,0.046355,0.0,52.0,3.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_q75,1.0,100.0,0.09486,0.0,33.0,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_recent20_median,1.0,100.0,0.0625,0.0,20.0,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_recent8_median,1.0,100.0,0.071875,0.0,8.0,7.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_superset_mean,1.0,100.0,0.011837,0.0,3.0,8.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_superset_q75,1.0,100.0,0.02625,0.0,3.0,13.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_median,1.0,100.0,0.02625,0.0,14.0,26.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_q75,1.0,100.0,0.0325,0.0,8.0,19.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent8_median,1.0,100.0,0.024375,0.0,8.0,6.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_mean,1.0,100.0,0.110208,0.0,3.0,20.0
ROLLING_ROW_LEVEL_RESIDUAL,original_base_rows_original_recent12_median,1.0,100.0,0.0025,0.0,12.0,3.0
ROLLING_ROW_LEVEL_RESIDUAL,original_base_rows_superset_recent12_median,1.0,100.0,0.06197,0.0,12.0,6.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_median,1.0,100.0,0.155625,0.0,74.0,1.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_recent20_median,1.0,100.0,0.082083,0.0,20.0,1.0
ROLLING_SOURCE_LEVEL_RESIDUAL,original_base_source_original_q25,1.0,100.0,0.010625,0.0,17.0,9.0
