level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,selected_mode,route_source,fallback_mode_used,router_prior_count,router_top1_within_3,router_top1_within_5,router_median_abs_error,router_rule_score,router_confidence_score,selected_mode_reason
2026-05-22,2026-05-21,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4543.05,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,20.0,15.0,20.0,20.974375,3.869219,47.748708,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=20
2026-05-25,2026-05-22,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4507.9,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,0.0,164.0,8.536585,15.853659,16.450009,5.461274,60.678775,LEVEL_ONLY: best prior mode for L4; prior_count=164
2026-05-25,2026-05-22,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4507.9,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,LEVEL_ONLY,0.0,164.0,10.97561,18.902439,18.36,5.992195,60.599854,LEVEL_ONLY: best prior mode for L5; prior_count=164
2026-05-25,2026-05-22,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4507.9,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,LEVEL_ONLY,0.0,164.0,10.365854,12.195122,17.49,3.65689,58.774293,LEVEL_ONLY: best prior mode for L6; prior_count=164
2026-05-25,2026-05-22,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4507.9,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,LEVEL_ONLY,0.0,163.0,14.110429,17.177914,25.065,1.116894,55.97327,LEVEL_ONLY: best prior mode for L7; prior_count=163
2026-05-26,2026-05-25,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4570.94,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,12.5,25.0,14.758016,5.731488,39.228523,REGIME_LEVEL_BROAD: best prior mode for L4; prior_count=8
2026-05-26,2026-05-25,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4570.94,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,25.0,50.0,7.745625,24.990781,52.185958,REGIME_LEVEL_BROAD: best prior mode for L5; prior_count=8
2026-05-26,2026-05-25,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4570.94,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,25.0,37.5,10.246875,17.864844,46.310208,REGIME_LEVEL_BROAD: best prior mode for L6; prior_count=8
2026-05-26,2026-05-25,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4570.94,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,37.5,37.5,11.175,20.66875,45.753333,REGIME_LEVEL_BROAD: best prior mode for L7; prior_count=8
2026-05-27,2026-05-26,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4507.47,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,0.0,17.0,5.882353,11.764706,15.34,1.033235,44.74698,REGIME_LEVEL_BROAD: best prior mode for L4; prior_count=17
2026-05-27,2026-05-26,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4507.47,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,0.0,17.0,5.882353,17.647059,17.27136,2.055304,45.646988,REGIME_LEVEL_BROAD: best prior mode for L5; prior_count=17
2026-05-27,2026-05-26,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4507.47,PREV_CLOSE_PROXY,,NEUTRAL,MODE_C_BALANCED,REGIME_LEVEL_BROAD,0.0,17.0,17.647059,17.647059,20.245,3.119191,43.862804,REGIME_LEVEL_BROAD: best prior mode for L6; prior_count=17
2026-05-27,2026-05-26,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4507.47,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,0.0,17.0,11.764706,17.647059,24.33,-1.591618,41.411804,REGIME_LEVEL_BROAD: best prior mode for L7; prior_count=17
2026-05-28,2026-05-27,L4,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4456.18,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,REGIME_LEVEL_EXACT,0.0,12.0,8.333333,16.666667,25.425625,-5.535885,34.577958,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=12
