level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,base_superset_price,base_original_price,base_superset_source,dynamic_candidate_price,dynamic_source_family,dynamic_source_type,dynamic_adjustment,dynamic_prior_sample_count,actual_published_level,dynamic_candidate_abs_error,dynamic_candidate_within_3,dynamic_candidate_within_5,dynamic_candidate_status,dynamic_candidate_score
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3974.333754,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_mean,2.273755,4.0,3970.41,3.923755,False,True,DYNAMIC_WITHIN_5,11.346801
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3974.333754,CHANNEL_LEVEL_RESIDUAL,original_base_channel_superset_mean,2.273755,4.0,3970.41,3.923755,False,True,DYNAMIC_WITHIN_5,11.346801
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3976.97375,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_recent8_median,4.91375,4.0,3970.41,6.56375,False,False,DYNAMIC_WITHIN_10,11.241202
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3976.97375,CHANNEL_LEVEL_RESIDUAL,original_base_channel_superset_recent8_median,4.91375,4.0,3970.41,6.56375,False,False,DYNAMIC_WITHIN_10,11.241202
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3971.1075,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_median,-0.9525,4.0,3970.41,0.6975,True,True,DYNAMIC_WITHIN_3,11.399652
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3971.1075,CHANNEL_LEVEL_RESIDUAL,original_base_channel_original_median,-0.9525,4.0,3970.41,0.6975,True,True,DYNAMIC_WITHIN_3,11.399652
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3953.2275,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_q25,-18.8325,4.0,3970.41,17.1825,False,False,DYNAMIC_GT10,10.684452
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3953.2275,CHANNEL_LEVEL_RESIDUAL,original_base_channel_original_q25,-18.8325,4.0,3970.41,17.1825,False,False,DYNAMIC_GT10,10.684452
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3987.860629,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_q75,15.80063,4.0,3970.41,17.45063,False,False,DYNAMIC_GT10,10.805726
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3987.860629,CHANNEL_LEVEL_RESIDUAL,original_base_channel_original_q75,15.80063,4.0,3970.41,17.45063,False,False,DYNAMIC_GT10,10.805726
