level_date,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score
2026-02-23,11,1,3.63,3.77,27.272727,27.272727,36.363636,63.636364,100.0,48.297727
2026-02-24,11,1,3.09,4.007656,18.181818,27.272727,45.454545,72.727273,90.909091,56.011364
2026-02-25,11,1,3.19,4.9125,18.181818,45.454545,45.454545,63.636364,81.818182,53.488636
2026-02-26,8,1,1.57625,2.33349,50.0,50.0,62.5,87.5,100.0,71.159375
2026-02-27,9,1,3.62,3.049164,33.333333,44.444444,44.444444,77.777778,100.0,55.494444
2026-03-02,11,1,1.92,6.923636,36.363636,54.545455,72.727273,81.818182,90.909091,73.481818
2026-03-03,10,1,3.87,3.925672,10.0,30.0,50.0,60.0,100.0,52.925
2026-03-04,9,1,5.72875,7.411959,11.111111,11.111111,33.333333,44.444444,77.777778,36.889236
2026-03-05,9,1,1.96,3.619444,11.111111,55.555556,66.666667,66.666667,100.0,66.866667
2026-03-06,8,1,1.8225,2.168125,25.0,75.0,75.0,87.5,100.0,76.16875
2026-03-09,10,1,2.905,2.958984,30.0,40.0,50.0,80.0,100.0,60.3375
2026-03-10,9,1,2.575,3.188519,22.222222,44.444444,66.666667,77.777778,88.888889,68.106944
2026-03-11,10,1,2.09125,2.921625,40.0,50.0,70.0,80.0,100.0,71.371875
2026-03-12,10,1,1.59,1.91875,30.0,80.0,80.0,90.0,100.0,79.625
2026-03-13,9,1,1.6625,2.311407,22.222222,55.555556,66.666667,88.888889,100.0,73.165972
2026-03-16,10,1,1.97004,2.689016,20.0,50.0,70.0,80.0,100.0,71.6749
2026-03-17,8,1,2.4175,2.881562,25.0,37.5,62.5,75.0,100.0,65.93125
2026-03-18,12,1,3.73,3.714167,8.333333,25.0,33.333333,66.666667,100.0,47.441667
2026-03-19,11,1,4.34125,4.552544,0.0,27.272727,36.363636,72.727273,90.909091,48.79233
2026-03-20,10,1,2.88016,3.386743,30.0,30.0,50.0,80.0,90.0,60.3996
2026-03-23,10,1,4.3575,4.3135,10.0,30.0,40.0,70.0,90.0,49.70625
