selector_source_family,selector_source_type,selector_pick_count,selector_pct_within_5,selector_median_abs_error,selector_recovered_within_5_pct,avg_selector_score,avg_primary_prior_w5,avg_performance_lookback_days
ROLLING_BASE_ORIGINAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2.0,0.0,12.385625,0.0,32.183076,38.97017,2.0
ROLLING_LEVEL_RESIDUAL,original_base_level_superset_q25,2.0,0.0,15.281771,0.0,20.162822,31.837315,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_q75,2.0,0.0,18.834062,0.0,21.197094,34.545571,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_q75,2.0,0.0,9.777242,0.0,56.080154,54.791312,1.5
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_q25,2.0,0.0,6.978166,0.0,48.587447,40.075371,1.5
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent12_median,2.0,0.0,30.5975,0.0,22.421627,35.487297,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_q25,2.0,0.0,39.074872,0.0,40.345226,45.293813,2.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_original_recent20_median,2.0,0.0,35.92375,0.0,4.192054,30.814786,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_original_mean,2.0,0.0,9.605793,0.0,36.84011,38.572037,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_superset_mean,2.0,0.0,15.504899,0.0,39.152885,44.857981,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_superset_q75,2.0,0.0,28.669375,0.0,37.460855,41.596236,2.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_recent8_median,2.0,0.0,19.716979,0.0,61.121722,51.020258,1.0
ROLLING_ROW_LEVEL_RESIDUAL,original_base_rows_superset_median,2.0,0.0,35.880016,0.0,22.529992,40.313026,1.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_median,2.0,0.0,8.636896,0.0,38.289308,28.82898,1.0
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_median,2.0,0.0,54.357658,0.0,33.85244,50.492454,1.0
