level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,selector_available_levels,superset_audited_pct_within_5,rolling_oracle_pct_within_5,selector_pct_within_5,selector_pct_within_3,selector_median_abs_error,selector_recovered_within_5_pct,selector_better_than_superset_pct,selector_date_safe_pct,ladder_selector_available,ladder_selector_valid,ladder_selector_pct_within_5,ladder_selector_pct_within_3,ladder_selector_median_abs_error
2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4208.11,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,0.0,6.427508,0.0,50.0,100.0,True,True,50.0,0.0,6.427508
2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4325.92,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,75.0,0.0,0.0,16.003705,0.0,0.0,100.0,True,True,0.0,0.0,16.003705
2025-10-20,2025-10-17,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4252.68,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,77.365443,0.0,0.0,100.0,True,True,0.0,0.0,77.365443
2025-10-21,2025-10-20,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4356.3,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,25.0,25.0,25.0,34.49151,0.0,50.0,100.0,True,True,25.0,25.0,34.49151
2025-10-22,2025-10-21,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4124.9,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,56.223802,0.0,0.0,100.0,True,True,0.0,0.0,56.223802
2025-10-23,2025-10-22,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4098.38,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,83.695651,0.0,0.0,100.0,True,True,0.0,0.0,83.695651
2025-10-24,2025-10-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4125.98,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,25.0,25.0,20.680188,0.0,75.0,100.0,True,True,25.0,25.0,20.680188
2025-10-27,2025-10-24,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4112.26,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,50.0,2.954375,25.0,75.0,100.0,True,True,50.0,50.0,2.954375
2025-10-28,2025-10-27,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3981.07,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,0.0,0.0,12.16625,0.0,0.0,100.0,True,True,0.0,0.0,12.16625
2025-10-29,2025-10-28,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3952.66,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,100.0,0.0,0.0,15.690282,0.0,50.0,100.0,True,True,0.0,0.0,15.690282
2025-10-30,2025-10-29,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3930.12,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,93.837578,0.0,100.0,100.0,True,True,0.0,0.0,93.837578
2025-10-31,2025-10-30,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4024.28,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,25.0,0.0,6.258437,0.0,75.0,100.0,True,True,25.0,0.0,6.258437
2025-11-03,2025-10-31,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,4002.19,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,75.0,50.0,2.654858,50.0,75.0,100.0,True,False,75.0,75.0,1.907326
2025-11-04,2025-11-03,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4001.26,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,0.0,0.0,10.614674,0.0,75.0,100.0,True,True,0.0,0.0,10.614674
2025-11-05,2025-11-04,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,3931.9,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,0.0,0.0,24.417344,0.0,0.0,100.0,True,True,0.0,0.0,24.417344
2025-11-06,2025-11-05,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3979.04,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,50.0,10.02748,25.0,25.0,100.0,True,True,50.0,50.0,10.02748
2025-11-07,2025-11-06,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,3976.93,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,25.0,0.0,7.240069,25.0,25.0,100.0,True,True,25.0,0.0,7.240069
2025-11-10,2025-11-07,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4000.84,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,75.0,75.0,1.588437,25.0,50.0,100.0,True,True,75.0,75.0,1.588437
2025-11-11,2025-11-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4115.78,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,75.0,25.0,0.0,13.263679,25.0,75.0,100.0,True,True,25.0,0.0,13.263679
2025-11-12,2025-11-11,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4126.6,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,25.992567,0.0,25.0,100.0,True,True,0.0,0.0,25.992567
2025-11-13,2025-11-12,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4195.32,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,75.0,25.0,0.0,12.730264,25.0,25.0,100.0,True,True,25.0,0.0,12.730264
2025-11-14,2025-11-13,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4171.26,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,40.552054,0.0,0.0,100.0,True,True,0.0,0.0,40.552054
2025-11-17,2025-11-14,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4085.1,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,109.837586,0.0,0.0,100.0,True,True,0.0,0.0,109.837586
2025-11-18,2025-11-17,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4045.52,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,25.0,0.0,7.504219,25.0,25.0,100.0,True,True,25.0,0.0,7.504219
2025-11-19,2025-11-18,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4067.3,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,25.0,8.497092,0.0,25.0,100.0,True,True,50.0,25.0,8.497092
2025-11-20,2025-11-19,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4077.81,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,50.0,8.894618,25.0,25.0,100.0,True,True,50.0,50.0,8.894618
2025-11-21,2025-11-20,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4077.2,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,0.0,0.0,10.575416,0.0,0.0,100.0,True,True,0.0,0.0,10.575416
2025-11-24,2025-11-21,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4065.26,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,50.0,25.0,8.942917,0.0,25.0,100.0,True,True,50.0,25.0,8.942917
2025-11-25,2025-11-24,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4134.62,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,25.0,5.95789,0.0,25.0,100.0,True,True,50.0,25.0,5.95789
2025-11-26,2025-11-25,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4130.64,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,25.0,25.0,15.98169,0.0,50.0,100.0,True,True,25.0,25.0,15.98169
2025-11-27,2025-11-26,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4163.7,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,25.0,25.0,9.567922,0.0,75.0,100.0,True,True,25.0,25.0,9.567922
2025-11-28,2025-11-27,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4157.37,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,75.0,0.0,0.0,15.044887,0.0,50.0,100.0,True,True,0.0,0.0,15.044887
2025-12-01,2025-11-28,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4219.51,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,50.0,4.817612,25.0,50.0,100.0,True,True,50.0,50.0,4.817612
2025-12-02,2025-12-01,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4232.12,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,75.0,25.0,25.0,20.74239,0.0,0.0,100.0,True,True,25.0,25.0,20.74239
2025-12-03,2025-12-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4205.64,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,50.0,25.0,4.936656,0.0,50.0,100.0,True,True,50.0,25.0,4.936656
2025-12-04,2025-12-03,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4202.98,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,75.0,50.0,25.0,4.544769,25.0,75.0,100.0,True,True,50.0,25.0,4.544769
2025-12-05,2025-12-04,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4208.64,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,100.0,100.0,2.28334,0.0,50.0,100.0,True,True,100.0,100.0,2.28334
2025-12-08,2025-12-05,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4199.09,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,50.0,25.0,0.0,11.911231,25.0,50.0,100.0,True,True,25.0,0.0,11.911231
2025-12-09,2025-12-08,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4190.56,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,100.0,0.0,0.0,14.311423,0.0,50.0,100.0,True,True,0.0,0.0,14.311423
2025-12-10,2025-12-09,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4208.1,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,100.0,0.0,0.0,12.839527,0.0,50.0,100.0,True,True,0.0,0.0,12.839527
2025-12-11,2025-12-10,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4228.54,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,75.0,25.0,3.673249,0.0,0.0,100.0,True,True,75.0,25.0,3.673249
2025-12-12,2025-12-11,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4279.59,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,25.0,7.993676,0.0,25.0,100.0,True,True,50.0,25.0,7.993676
2025-12-15,2025-12-12,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4299.72,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,75.0,75.0,75.0,2.163414,0.0,50.0,100.0,True,False,75.0,75.0,2.163414
2025-12-16,2025-12-15,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4304.91,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,75.0,25.0,25.0,15.936294,0.0,25.0,100.0,True,True,25.0,25.0,15.936294
2025-12-17,2025-12-16,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4302.04,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,100.0,25.0,25.0,7.684293,25.0,75.0,100.0,True,True,25.0,25.0,7.684293
2025-12-19,2025-12-18,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4332.34,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,50.0,50.0,3.324228,0.0,25.0,100.0,True,True,50.0,50.0,3.324228
2025-12-22,2025-12-19,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4338.16,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,50.0,25.0,7.026153,0.0,0.0,100.0,True,True,50.0,25.0,7.026153
2025-12-23,2025-12-22,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4443.59,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,50.0,25.0,25.0,17.643261,25.0,100.0,100.0,True,True,25.0,25.0,17.643261
2025-12-24,2025-12-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4484.54,PREV_CLOSE_PROXY,,NEUTRAL,3,100.0,100.0,33.333333,33.333333,5.193299,0.0,0.0,100.0,False,False,,,
2025-12-26,2025-12-24,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4479.58,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,25.0,5.373886,25.0,75.0,100.0,True,True,50.0,25.0,5.373886
2025-12-29,2025-12-26,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4531.0,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,50.0,50.0,4.088547,0.0,50.0,100.0,True,True,50.0,50.0,4.088547
2025-12-30,2025-12-29,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4332.04,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,75.77032,0.0,50.0,100.0,True,True,0.0,0.0,75.77032
2026-01-01,2025-12-31,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4318.87,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,0.0,0.0,8.433623,0.0,50.0,100.0,True,True,0.0,0.0,8.433623
2026-01-02,2025-12-31,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4318.87,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,25.0,0.0,7.35,0.0,25.0,100.0,True,True,50.0,25.0,5.624688
2026-01-05,2026-01-02,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4332.72,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,25.0,25.0,8.565301,0.0,75.0,100.0,True,True,25.0,25.0,8.565301
2026-01-06,2026-01-05,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4448.89,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,75.0,75.0,2.203103,0.0,100.0,100.0,True,True,75.0,75.0,2.203103
2026-01-07,2026-01-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4494.54,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,25.0,25.0,7.695937,0.0,0.0,100.0,True,True,25.0,25.0,7.695937
2026-01-08,2026-01-07,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4456.36,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,75.0,25.0,4.198445,0.0,25.0,100.0,True,True,75.0,25.0,4.198445
2026-01-09,2026-01-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4477.28,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,100.0,25.0,3.254921,25.0,50.0,100.0,True,True,100.0,25.0,3.254921
2026-01-12,2026-01-09,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4509.3,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,100.0,25.0,25.0,10.05437,25.0,100.0,100.0,True,True,25.0,25.0,10.05437
2026-01-13,2026-01-12,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4597.38,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,75.0,50.0,3.583547,25.0,50.0,100.0,True,True,75.0,50.0,3.583547
2026-01-14,2026-01-13,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4586.3,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,25.0,0.0,0.0,28.119878,0.0,25.0,100.0,True,True,0.0,0.0,28.119878
2026-01-15,2026-01-14,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4626.39,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,28.917403,0.0,50.0,100.0,True,True,0.0,0.0,28.917403
2026-01-16,2026-01-15,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4615.76,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,75.0,25.0,3.637125,25.0,75.0,100.0,True,True,75.0,25.0,3.637125
2026-01-19,2026-01-16,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4595.66,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,25.0,25.0,9.455303,0.0,75.0,100.0,True,True,50.0,50.0,5.333447
2026-01-20,2026-01-19,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4670.86,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,75.0,25.0,4.245,0.0,25.0,100.0,True,True,75.0,25.0,4.245
2026-01-21,2026-01-20,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4763.3,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,124.132029,0.0,100.0,100.0,True,True,0.0,0.0,124.132029
2026-01-22,2026-01-21,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4831.03,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,100.0,25.0,25.0,9.542325,25.0,75.0,100.0,True,False,25.0,25.0,9.542325
2026-01-23,2026-01-22,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4936.06,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,75.0,25.0,25.0,13.585313,0.0,25.0,100.0,True,True,25.0,25.0,13.585313
2026-01-26,2026-01-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4987.98,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,25.0,0.0,0.0,26.239734,0.0,25.0,100.0,True,True,0.0,0.0,26.239734
2026-01-27,2026-01-26,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,5008.17,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,100.0,25.0,25.0,11.856215,0.0,50.0,100.0,True,True,25.0,25.0,11.856215
2026-01-28,2026-01-27,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5181.22,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,54.712102,0.0,75.0,100.0,True,True,0.0,0.0,54.712102
2026-01-29,2026-01-28,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,5417.12,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,50.0,0.0,0.0,27.932813,0.0,75.0,100.0,True,True,0.0,0.0,27.932813
2026-01-30,2026-01-29,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5370.92,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,25.0,0.0,0.0,85.650937,0.0,50.0,100.0,True,True,0.0,0.0,85.650937
2026-02-02,2026-01-30,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4885.18,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,136.051178,0.0,0.0,100.0,True,True,0.0,0.0,136.051178
2026-02-03,2026-02-02,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,4660.96,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,105.6025,0.0,0.0,100.0,True,True,0.0,0.0,105.6025
2026-02-04,2026-02-03,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4946.72,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,88.730886,0.0,75.0,100.0,True,True,0.0,0.0,88.730886
2026-02-05,2026-02-04,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,4964.74,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,177.683793,0.0,0.0,100.0,True,True,0.0,0.0,177.683793
2026-02-06,2026-02-05,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4779.46,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,75.0,25.0,25.0,23.817946,0.0,0.0,100.0,True,True,25.0,25.0,23.817946
2026-02-09,2026-02-06,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4965.74,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,25.0,0.0,0.0,24.803781,0.0,50.0,100.0,True,True,0.0,0.0,24.803781
2026-02-10,2026-02-09,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5057.94,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,25.0,25.0,30.546819,0.0,75.0,100.0,True,True,25.0,25.0,30.546819
2026-02-11,2026-02-10,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5025.3,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,75.0,25.0,0.0,31.633547,0.0,25.0,100.0,True,True,25.0,0.0,31.633547
2026-02-12,2026-02-11,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,5084.24,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,25.0,5.171044,0.0,75.0,100.0,True,True,50.0,25.0,5.171044
