level_date,rows,median_abs_distance,mean_abs_distance,pct_within_3,pct_within_5,dominant_anchor_family,prior_range_fraction_count,prior_hlc_count,box_internal_count,box_edge_count,formula_sequence
2025-11-28,9,1.9175,7.760278,66.666667,77.777778,red_box_edge,0,1,4,4,L1=green_box_midline::green_mid_4 | L2=green_box_quarter::green_box_3_75pct | L3=green_box_quarter::green_box_2_75pct | L4=prior_hlc::previous_high | L5=red_box_edge::red_edge_1 | L6=red_box_edge::red_edge_2 | L7=red_box_quarter::red_box_4_25pct | L8=red_box_edge::red_edge_4 | L9=red_box_edge::red_edge_4
2025-12-01,9,0.9975,2.021667,66.666667,88.888889,green_box_quarter,2,0,7,0,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_quarter::green_box_3_25pct | L4=green_box_quarter::green_box_2_75pct | L5=prior_range_fraction::prev_range_0.75 | L6=red_box_quarter::red_box_1_75pct | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_quarter::red_box_2_75pct | L9=red_box_quarter::red_box_3_25pct
2025-12-02,7,1.54,2.444286,71.428571,85.714286,red_box_quarter,1,0,5,1,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=prior_range_fraction::prev_range_0.875 | L4=red_box_quarter::red_box_1_75pct | L5=red_box_quarter::red_box_2_25pct | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct
2025-12-03,9,1.665,2.152051,77.777778,88.888889,green_box_quarter,2,1,6,0,L1=green_box_quarter::green_box_3_75pct | L2=green_box_quarter::green_box_3_25pct | L3=green_box_quarter::green_box_2_75pct | L4=prior_hlc::previous_high | L5=prior_range_fraction::prev_range_0.666667 | L6=prior_range_fraction::prev_range_0.382 | L7=red_box_quarter::red_box_2_25pct | L8=red_box_quarter::red_box_2_75pct | L9=red_box_quarter::red_box_3_25pct
2025-12-04,8,2.486659,2.43229,50.0,100.0,prior_range_fraction,2,0,4,2,L1=green_box_edge::green_edge_2 | L2=green_box_midline::green_mid_2 | L3=prior_range_fraction::prev_range_0.666667 | L4=prior_range_fraction::prev_range_0.25 | L5=red_box_midline::red_mid_2 | L6=red_box_edge::red_edge_2 | L7=red_box_midline::red_mid_3 | L8=red_box_quarter::red_box_4_25pct
2025-12-05,8,1.3925,1.803488,75.0,100.0,green_box_quarter,1,0,5,2,L1=green_box_quarter::green_box_3_75pct | L2=green_box_quarter::green_box_3_25pct | L3=green_box_midline::green_mid_2 | L4=prior_range_fraction::prev_range_0.666667 | L5=red_box_edge::red_edge_1 | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2 | L8=red_box_quarter::red_box_3_75pct
2025-12-08,8,2.519375,2.868906,62.5,62.5,red_box_quarter,2,0,6,0,L1=green_box_midline::green_mid_2 | L2=prior_range_fraction::prev_range_0.875 | L3=green_box_quarter::green_box_1_75pct | L4=prior_range_fraction::prev_range_0.25 | L5=red_box_midline::red_mid_2 | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct | L8=red_box_quarter::red_box_3_75pct
2025-12-09,8,3.30875,2.603438,37.5,100.0,green_box_quarter,1,0,6,1,L1=green_box_quarter::green_box_3_75pct | L2=green_box_quarter::green_box_3_25pct | L3=green_box_midline::green_mid_2 | L4=prior_range_fraction::prev_range_0.875 | L5=red_box_quarter::red_box_1_75pct | L6=red_box_quarter::red_box_2_25pct | L7=red_box_edge::red_edge_2 | L8=red_box_midline::red_mid_3
2025-12-10,8,2.9725,2.988437,50.0,100.0,green_box_quarter,1,1,6,0,L1=green_box_quarter::green_box_3_75pct | L2=green_box_quarter::green_box_3_25pct | L3=green_box_quarter::green_box_2_75pct | L4=prior_range_fraction::prev_range_0.875 | L5=prior_hlc::previous_mid | L6=red_box_quarter::red_box_2_25pct | L7=red_box_quarter::red_box_2_75pct | L8=red_box_quarter::red_box_3_25pct
2025-12-11,8,1.2525,1.669687,75.0,100.0,green_box_quarter,1,0,5,2,L1=green_box_edge::green_edge_2 | L2=green_box_midline::green_mid_2 | L3=prior_range_fraction::prev_range_0.875 | L4=green_box_quarter::green_box_1_75pct | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2 | L8=red_box_quarter::red_box_3_25pct
2025-12-12,9,0.57375,1.369444,77.777778,88.888889,prior_range_fraction,3,1,5,0,L1=green_box_quarter::green_box_2_75pct | L2=green_box_midline::green_mid_2 | L3=prior_range_fraction::prev_range_0.875 | L4=prior_range_fraction::prev_range_0.666667 | L5=prior_hlc::previous_mid | L6=prior_range_fraction::prev_range_0.333333 | L7=red_box_quarter::red_box_2_25pct | L8=red_box_midline::red_mid_2 | L9=red_box_quarter::red_box_2_75pct
2025-12-15,8,1.169375,1.925,75.0,100.0,prior_range_fraction,3,0,4,1,L1=prior_range_fraction::prev_range_0.875 | L2=prior_range_fraction::prev_range_0.875 | L3=red_box_midline::red_mid_1 | L4=green_box_quarter::green_box_1_75pct | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_midline::red_mid_2 | L7=red_box_quarter::red_box_2_75pct | L8=red_box_edge::red_edge_2
2025-12-16,8,1.025625,1.375625,100.0,100.0,red_box_quarter,1,0,6,1,L1=green_box_edge::green_edge_2 | L2=green_box_midline::green_mid_2 | L3=red_box_quarter::red_box_1_25pct | L4=green_box_quarter::green_box_1_75pct | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_midline::red_mid_2 | L7=red_box_quarter::red_box_2_75pct | L8=red_box_quarter::red_box_3_25pct
2025-12-17,8,1.52077,2.129617,75.0,87.5,prior_range_fraction,3,1,2,2,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.666667 | L5=prior_range_fraction::prev_range_0.382 | L6=prior_range_fraction::prev_range_0.125 | L7=red_box_quarter::red_box_2_75pct | L8=red_box_edge::red_edge_2
2025-12-19,8,1.2375,1.846719,75.0,100.0,prior_hlc,1,3,2,2,L1=green_box_midline::green_mid_2 | L2=prior_hlc::previous_high | L3=green_box_edge::green_edge_1 | L4=prior_hlc::previous_mid | L5=prior_range_fraction::prev_range_0.25 | L6=prior_hlc::previous_low | L7=red_box_quarter::red_box_2_75pct | L8=red_box_edge::red_edge_2
2025-12-22,8,2.0675,2.17875,75.0,100.0,red_box_midline,0,1,4,3,L1=green_box_edge::green_edge_2 | L2=green_box_midline::green_mid_2 | L3=prior_hlc::previous_high | L4=red_box_midline::red_mid_1 | L5=red_box_edge::red_edge_1 | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2 | L8=red_box_midline::red_mid_3
2025-12-23,10,2.51962,2.523428,60.0,90.0,green_box_quarter,2,2,5,1,L1=green_box_midline::green_mid_3 | L2=green_box_quarter::green_box_3_25pct | L3=green_box_edge::green_edge_2 | L4=green_box_quarter::green_box_2_75pct | L5=prior_hlc::previous_high | L6=prior_hlc::previous_close | L7=green_box_quarter::green_box_2_25pct | L8=prior_range_fraction::prev_range_0.666667 | L9=red_box_quarter::red_box_1_75pct | L10=prior_range_fraction::prev_range_0.382
2025-12-24,6,0.405625,0.460625,100.0,100.0,green_box_quarter,0,0,5,1,L1=green_box_quarter::green_box_2_75pct | L2=green_box_midline::green_mid_2 | L3=green_box_quarter::green_box_2_25pct | L4=green_box_edge::green_edge_1 | L5=green_box_quarter::green_box_1_75pct | L6=green_box_midline::green_mid_1
2025-12-26,8,2.175625,2.233906,75.0,100.0,prior_range_fraction,4,1,3,0,L1=green_box_midline::green_mid_2 | L2=prior_range_fraction::prev_range_0.875 | L3=prior_range_fraction::prev_range_0.75 | L4=green_box_quarter::green_box_1_75pct | L5=prior_hlc::previous_close | L6=prior_range_fraction::prev_range_0.25 | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_midline::red_mid_2
