level_date,prev_date,rows,prev_range,box_size,range_bucket,close_position_bucket,rows_bucket,prediction_available_levels,missing_prediction_levels,dominant_candidate_method,top1_anchor_hit_rate,top3_anchor_hit_rate,top5_anchor_hit_rate,best_candidate_median_abs_error,best_candidate_mean_abs_error,best_candidate_pct_within_3,best_candidate_pct_within_5,top1_candidate_median_abs_error,candidate_band_median_width
2026-01-07,2026-01-06,10,69.81999999999971,49.909999999999854,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,25.0,50.0,3.845,3.903327,25.0,75.0,20.20063,40.375405
2026-01-08,2026-01-07,10,77.09000000000015,53.54500000000007,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,50.0,50.0,3.775625,3.109375,25.0,100.0,6.545,44.615
2026-01-09,2026-01-08,9,71.67999999999938,50.83999999999969,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,25.0,50.0,1.77,3.215,75.0,75.0,9.158345,40.801655
2026-01-12,2026-01-09,10,64.1899999999996,47.0949999999998,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,25.0,25.0,11.135822,12.156661,0.0,0.0,26.89,33.198322
2026-01-13,2026-01-12,7,117.82999999999993,73.91499999999996,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,50.0,50.0,2.480625,2.670938,50.0,75.0,5.376875,29.4575
2026-01-14,2026-01-13,9,64.94999999999982,47.47499999999991,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,23.506875,26.265,0.0,0.0,23.506875,4.522708
2026-01-15,2026-01-14,8,54.30000000000018,42.15000000000009,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,27.69125,29.650625,0.0,0.0,27.69125,13.575
2026-01-16,2026-01-15,7,51.350000000000364,40.67500000000018,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,50.0,50.0,50.0,3.967075,4.548225,25.0,75.0,5.830625,43.090625
2026-01-19,2026-01-16,7,84.02000000000044,57.01000000000022,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,8.6825,9.33875,0.0,25.0,12.29375,21.7525
2026-01-20,2026-01-19,9,71.32999999999993,50.664999999999964,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,25.0,50.0,1.860625,2.106875,75.0,100.0,6.887845,33.999375
